,Kecamatan,DaerahTingkatDua,Provinsi,KodeWilayah
1811,Kuok,Kab. Kampar,Riau,140105
1812,Perhentian Raja,Kab. Kampar,Riau,140116
1813,Rumbio Jaya,Kab. Kampar,Riau,140114
1814,Salo,Kab. Kampar,Riau,140113
1815,Siak Hulu,Kab. Kampar,Riau,140106
1816,Tambang,Kab. Kampar,Riau,140103
1817,Tapung,Kab. Kampar,Riau,140110
1818,Tapung Hilir,Kab. Kampar,Riau,140111
1819,Tapung Hulu,Kab. Kampar,Riau,140112
1820,XIII Koto Kampar,Kab. Kampar,Riau,140104
1821,Batang Cenaku,Kab. Indragiri Hulu,Riau,140207
1822,Batang Gangsal (Batang Gansal),Kab. Indragiri Hulu,Riau,140208
1823,Batang Peranap,Kab. Indragiri Hulu,Riau,140214
1824,Kelayang,Kab. Indragiri Hulu,Riau,140203
1825,Kuala Cenaku,Kab. Indragiri Hulu,Riau,140210
1826,Lirik,Kab. Indragiri Hulu,Riau,140209
1827,Lubuk Batu Jaya,Kab. Indragiri Hulu,Riau,140212
1828,Pasir Penyu,Kab. Indragiri Hulu,Riau,140204
1829,Peranap,Kab. Indragiri Hulu,Riau,140205
1830,Rakit Kulim,Kab. Indragiri Hulu,Riau,140213
1831,Rengat,Kab. Indragiri Hulu,Riau,140201
1832,Rengat Barat,Kab. Indragiri Hulu,Riau,140202
1833,Siberida (Seberida),Kab. Indragiri Hulu,Riau,140206
1834,Sungai Lala,Kab. Indragiri Hulu,Riau,140211
1835,Bandar Laksamana,Kab. Bengkalis,Riau,140314
1836,Bantan,Kab. Bengkalis,Riau,140302
1837,Bathin Solapan,Kab. Bengkalis,Riau,140316
1838,Bengkalis,Kab. Bengkalis,Riau,140301
1839,Bukit Batu,Kab. Bengkalis,Riau,140303
1840,Mandau,Kab. Bengkalis,Riau,140309
1841,Pinggir,Kab. Bengkalis,Riau,140313
1842,Rupat,Kab. Bengkalis,Riau,140310
1843,Rupat Utara,Kab. Bengkalis,Riau,140311
1844,Siak Kecil,Kab. Bengkalis,Riau,140312
1845,Talang Muandau,Kab. Bengkalis,Riau,140315
1846,Batang Tuaka,Kab. Indragiri Hilir,Riau,140411
1847,Concong,Kab. Indragiri Hilir,Riau,140418
1848,Enok,Kab. Indragiri Hilir,Riau,140402
1849,Gaung,Kab. Indragiri Hilir,Riau,140412
1850,Gaung Anak Serka,Kab. Indragiri Hilir,Riau,140406
1851,Kateman,Kab. Indragiri Hilir,Riau,140408
1852,Kempas,Kab. Indragiri Hilir,Riau,140419
1853,Kemuning,Kab. Indragiri Hilir,Riau,140414
1854,Keritang,Kab. Indragiri Hilir,Riau,140409
1855,Kuala Indragiri,Kab. Indragiri Hilir,Riau,140403
1856,Mandah,Kab. Indragiri Hilir,Riau,140407
1857,Pelangiran,Kab. Indragiri Hilir,Riau,140415
1858,Pulau Burung,Kab. Indragiri Hilir,Riau,140417
1859,Reteh,Kab. Indragiri Hilir,Riau,140401
1860,Sungai Batang,Kab. Indragiri Hilir,Riau,140420
1861,Tanah Merah,Kab. Indragiri Hilir,Riau,140410
1862,Teluk Belengkong,Kab. Indragiri Hilir,Riau,140416
1863,Tembilahan,Kab. Indragiri Hilir,Riau,140404
1864,Tembilahan Hulu,Kab. Indragiri Hilir,Riau,140413
1865,Tempuling,Kab. Indragiri Hilir,Riau,140405
1866,Bandar Petalangan,Kab. Pelalawan,Riau,140512
1867,Bandar Sei Kijang,Kab. Pelalawan,Riau,140511
1868,Bunut,Kab. Pelalawan,Riau,140508
1869,Kerumutan,Kab. Pelalawan,Riau,140507
1870,Kuala Kampar,Kab. Pelalawan,Riau,140510
1871,Langgam,Kab. Pelalawan,Riau,140505
1872,Pangkalan Kerinci,Kab. Pelalawan,Riau,140502
1873,Pangkalan Kuras,Kab. Pelalawan,Riau,140503
1874,Pangkalan Lesung,Kab. Pelalawan,Riau,140504
1875,Pelalawan,Kab. Pelalawan,Riau,140506
1876,Teluk Meranti,Kab. Pelalawan,Riau,140509
1877,Ukui,Kab. Pelalawan,Riau,140501
1878,Bangun Purba,Kab. Rokan Hulu,Riau,140610
1879,Bonai Darussalam,Kab. Rokan Hulu,Riau,140613
1880,Kabun,Kab. Rokan Hulu,Riau,140612
1881,Kepenuhan,Kab. Rokan Hulu,Riau,140605
1882,Kepenuhan Hulu,Kab. Rokan Hulu,Riau,140615
1883,Kunto Darussalam,Kab. Rokan Hulu,Riau,140606
1884,Pagaran Tapah Darussalam,Kab. Rokan Hulu,Riau,140614
1885,Pendalian IV Koto,Kab. Rokan Hulu,Riau,140616
1886,Rambah,Kab. Rokan Hulu,Riau,140603
1887,Rambah Hilir,Kab. Rokan Hulu,Riau,140608
1888,Rambah Samo,Kab. Rokan Hulu,Riau,140607
1889,Rokan IV Koto,Kab. Rokan Hulu,Riau,140602
1890,Tambusai,Kab. Rokan Hulu,Riau,140604
1891,Tambusai Utara,Kab. Rokan Hulu,Riau,140609
1892,Tandun,Kab. Rokan Hulu,Riau,140611
1893,Ujung Batu,Kab. Rokan Hulu,Riau,140601
1894,Bagan Sinembah,Kab. Rokan Hilir,Riau,140705
1895,Bangko,Kab. Rokan Hilir,Riau,140702
1896,Bangko Pusaka (Pusako),Kab. Rokan Hilir,Riau,140710
1897,Batu Hampar,Kab. Rokan Hilir,Riau,140712
1898,Kubu,Kab. Rokan Hilir,Riau,140701
1899,Kubu Babussalam,Kab. Rokan Hilir,Riau,140715
1900,Pasir Limau Kapas,Kab. Rokan Hilir,Riau,140706
1901,Pekaitan,Kab. Rokan Hilir,Riau,140714
1902,Pujud,Kab. Rokan Hilir,Riau,140708
1903,Rantau Kopar,Kab. Rokan Hilir,Riau,140713
1904,Rimba Melintang,Kab. Rokan Hilir,Riau,140704
1905,Simpang Kanan,Kab. Rokan Hilir,Riau,140711
1906,Sinaboi (Senaboi),Kab. Rokan Hilir,Riau,140707
1907,Tanah Putih,Kab. Rokan Hilir,Riau,140703
1908,Tanah Putih Tanjung Melawan,Kab. Rokan Hilir,Riau,140709
1909,Bunga Raya,Kab. Siak,Riau,140808
1910,Dayun,Kab. Siak,Riau,140806
1911,Kandis,Kab. Siak,Riau,140810
1912,Kerinci Kanan,Kab. Siak,Riau,140807
1913,Koto Gasib,Kab. Siak,Riau,140809
1914,Lubuk Dalam,Kab. Siak,Riau,140811
1915,Mempura,Kab. Siak,Riau,140813
1916,Minas,Kab. Siak,Riau,140803
1917,Pusako,Kab. Siak,Riau,140814
1918,Sabak Auh,Kab. Siak,Riau,140812
1919,Siak,Kab. Siak,Riau,140801
1920,Sungai Apit,Kab. Siak,Riau,140802
1921,Sungai Mandau,Kab. Siak,Riau,140805
1922,Tualang,Kab. Siak,Riau,140804
1923,Benai,Kab. Kuantan Singingi,Riau,140906
1924,Cerenti,Kab. Kuantan Singingi,Riau,140905
1925,Gunungtoar (Gunung Toar),Kab. Kuantan Singingi,Riau,140907
1926,Hulu Kuantan,Kab. Kuantan Singingi,Riau,140912
1927,Inuman,Kab. Kuantan Singingi,Riau,140911
1928,Kuantan Hilir,Kab. Kuantan Singingi,Riau,140904
1929,Kuantan Hilir Seberang,Kab. Kuantan Singingi,Riau,140913
1930,Kuantan Mudik,Kab. Kuantan Singingi,Riau,140901
1931,Kuantan Tengah,Kab. Kuantan Singingi,Riau,140902
1932,Logas Tanah Darat,Kab. Kuantan Singingi,Riau,140910
1933,Pangean,Kab. Kuantan Singingi,Riau,140909
1934,Pucuk Rantau,Kab. Kuantan Singingi,Riau,140915
1935,Sentajo Raya,Kab. Kuantan Singingi,Riau,140914
1936,Singingi,Kab. Kuantan Singingi,Riau,140903
1937,Singingi Hilir,Kab. Kuantan Singingi,Riau,140908
1938,Merbau,Kab. Kepulauan Meranti,Riau,141005
1939,Pulaumerbau,Kab. Kepulauan Meranti,Riau,141006
1940,Rangsang,Kab. Kepulauan Meranti,Riau,141003
1941,Rangsang Barat,Kab. Kepulauan Meranti,Riau,141002
1942,Rangsang Pesisir,Kab. Kepulauan Meranti,Riau,141009
1943,Tasik Putri Puyu,Kab. Kepulauan Meranti,Riau,141008
1944,Tebing Tinggi,Kab. Kepulauan Meranti,Riau,141001
1945,Tebing Tinggi Barat,Kab. Kepulauan Meranti,Riau,141004
1946,Tebing Tinggi Timur,Kab. Kepulauan Meranti,Riau,141007
1947,Bukit Raya,Kota Pekanbaru,Riau,147107
1948,Lima Puluh,Kota Pekanbaru,Riau,147104
1949,Marpoyan Damai,Kota Pekanbaru,Riau,147109
1950,Payung Sekaki,Kota Pekanbaru,Riau,147111
1951,Pekanbaru Kota,Kota Pekanbaru,Riau,147102
1952,Rumbai,Kota Pekanbaru,Riau,147106
1953,Rumbai Pesisir,Kota Pekanbaru,Riau,147112
1954,Sail,Kota Pekanbaru,Riau,147103
1955,Senapelan,Kota Pekanbaru,Riau,147105
1956,Sukajadi,Kota Pekanbaru,Riau,147101
1957,Tampan,Kota Pekanbaru,Riau,147108
1958,Tenayan Raya,Kota Pekanbaru,Riau,147110
1959,Bukit Kapur,Kota Dumai,Riau,147203
1960,Dumai Barat,Kota Dumai,Riau,147201
1961,Dumai Kota,Kota Dumai,Riau,147206
1962,Dumai Selatan,Kota Dumai,Riau,147207
1963,Dumai Timur,Kota Dumai,Riau,147202
1964,Medang Kampai,Kota Dumai,Riau,147205
1965,Sungai Sembilan,Kota Dumai,Riau,147204
1966,Aimas,Kab. Sorong,Papua Barat,920107
1967,Bagun,Kab. Sorong,Papua Barat,920144
1968,Beraur,Kab. Sorong,Papua Barat,920104
1969,Botain,Kab. Sorong,Papua Barat,920154
1970,Buk,Kab. Sorong,Papua Barat,920147
1971,Hobard,Kab. Sorong,Papua Barat,920152
1972,Klabot,Kab. Sorong,Papua Barat,920117
1973,Klamono,Kab. Sorong,Papua Barat,920108
1974,Klasafet,Kab. Sorong,Papua Barat,920151
1975,Klaso,Kab. Sorong,Papua Barat,920141
1976,Klawak,Kab. Sorong,Papua Barat,920118
1977,Klayili,Kab. Sorong,Papua Barat,920140
1978,Konhir,Kab. Sorong,Papua Barat,920150
1979,Makbon,Kab. Sorong,Papua Barat,920101
1980,Malabotom,Kab. Sorong,Papua Barat,920149
1981,Mariat,Kab. Sorong,Papua Barat,920139
1982,Maudus,Kab. Sorong,Papua Barat,920120
1983,Mayamuk,Kab. Sorong,Papua Barat,920113
1984,Moisegen,Kab. Sorong,Papua Barat,920142
1985,Saengkeduk,Kab. Sorong,Papua Barat,920148
1986,Salawati,Kab. Sorong,Papua Barat,920105
1987,Salawati Selatan,Kab. Sorong,Papua Barat,920114
1988,Salawati Tengah,Kab. Sorong,Papua Barat,920153
1989,Sayosa,Kab. Sorong,Papua Barat,920110
1990,Sayosa Timur,Kab. Sorong,Papua Barat,920155
1991,Seget,Kab. Sorong,Papua Barat,920106
1992,Segun,Kab. Sorong,Papua Barat,920112
1993,Sorong,Kab. Sorong,Papua Barat,920143
1994,Sunook,Kab. Sorong,Papua Barat,920146
1995,Wemak,Kab. Sorong,Papua Barat,920145
1996,Manokwari Barat,Kab. Manokwari,Papua Barat,920212
1997,Manokwari Selatan,Kab. Manokwari,Papua Barat,920215
1998,Manokwari Timur,Kab. Manokwari,Papua Barat,920213
1999,Manokwari Utara,Kab. Manokwari,Papua Barat,920214
2000,Masni,Kab. Manokwari,Papua Barat,920205
2001,Prafi,Kab. Manokwari,Papua Barat,920204
2002,Sidey,Kab. Manokwari,Papua Barat,920221
2003,Tanah Rubuh,Kab. Manokwari,Papua Barat,920217
2004,Warmare,Kab. Manokwari,Papua Barat,920203
2005,Arguni,Kab. Fakfak,Papua Barat,920313
2006,Bomberay,Kab. Fakfak,Papua Barat,920307
2007,Fak-Fak (Fakfak),Kab. Fakfak,Papua Barat,920301
2008,Fak-Fak Barat (Fakfak Barat),Kab. Fakfak,Papua Barat,920302
2009,Fak-Fak Tengah (Fakfak Tengah),Kab. Fakfak,Papua Barat,920305
2010,Fak-Fak Timur (Fakfak Timur),Kab. Fakfak,Papua Barat,920303
2011,Fakfak Timur Tengah,Kab. Fakfak,Papua Barat,920312
2012,Furwagi,Kab. Fakfak,Papua Barat,920316
2013,Karas,Kab. Fakfak,Papua Barat,920306
2014,Kayauni,Kab. Fakfak,Papua Barat,920315
2015,Kokas,Kab. Fakfak,Papua Barat,920304
2016,Kramongmongga,Kab. Fakfak,Papua Barat,920308
2017,Mbahamdandara,Kab. Fakfak,Papua Barat,920314
2018,Pariwari,Kab. Fakfak,Papua Barat,920310
2019,Teluk Patipi,Kab. Fakfak,Papua Barat,920309
2020,Tomage,Kab. Fakfak,Papua Barat,920317
2021,Wartutin,Kab. Fakfak,Papua Barat,920311
2022,Fokour,Kab. Sorong Selatan,Papua Barat,920424
2023,Inanwatan,Kab. Sorong Selatan,Papua Barat,920404
2024,Kais,Kab. Sorong Selatan,Papua Barat,920414
2025,Kais Darat,Kab. Sorong Selatan,Papua Barat,920426
2026,Kokoda,Kab. Sorong Selatan,Papua Barat,920409
2027,Kokoda Utara,Kab. Sorong Selatan,Papua Barat,920421
2028,Konda,Kab. Sorong Selatan,Papua Barat,920415
2029,Matemani,Kab. Sorong Selatan,Papua Barat,920420
2030,Moswaren,Kab. Sorong Selatan,Papua Barat,920410
2031,Saifi,Kab. Sorong Selatan,Papua Barat,920422
2032,Salkma,Kab. Sorong Selatan,Papua Barat,920425
2033,Sawiat,Kab. Sorong Selatan,Papua Barat,920406
2034,Seremuk,Kab. Sorong Selatan,Papua Barat,920411
2035,Teminabuan,Kab. Sorong Selatan,Papua Barat,920401
2036,Wayer,Kab. Sorong Selatan,Papua Barat,920412
2037,Ayau,Kab. Raja Ampat,Papua Barat,920524
2038,Batanta Selatan,Kab. Raja Ampat,Papua Barat,920525
2039,Batanta Utara,Kab. Raja Ampat,Papua Barat,920520
2040,Kepulauan Ayau,Kab. Raja Ampat,Papua Barat,920505
2041,Kepulauan Sembilan,Kab. Raja Ampat,Papua Barat,920517
2042,Kofiau,Kab. Raja Ampat,Papua Barat,920510
2043,Kota Waisai,Kab. Raja Ampat,Papua Barat,920518
2044,Meos Mansar,Kab. Raja Ampat,Papua Barat,920511
2045,Misool (Misool Utara),Kab. Raja Ampat,Papua Barat,920501
2046,Misool Barat,Kab. Raja Ampat,Papua Barat,920516
2047,Misool Selatan,Kab. Raja Ampat,Papua Barat,920513
2048,Misool Timur,Kab. Raja Ampat,Papua Barat,920506
2049,Salawati Barat,Kab. Raja Ampat,Papua Barat,920521
2050,Salawati Tengah,Kab. Raja Ampat,Papua Barat,920522
2051,Salawati Utara,Kab. Raja Ampat,Papua Barat,920504
2052,Supnin,Kab. Raja Ampat,Papua Barat,920523
2053,Teluk Mayalibit,Kab. Raja Ampat,Papua Barat,920509
2054,Tiplol Mayalibit,Kab. Raja Ampat,Papua Barat,920519
2055,Waigeo Barat,Kab. Raja Ampat,Papua Barat,920507
2056,Waigeo Barat Kepulauan,Kab. Raja Ampat,Papua Barat,920515
2057,Waigeo Selatan,Kab. Raja Ampat,Papua Barat,920503
2058,Waigeo Timur,Kab. Raja Ampat,Papua Barat,920508
2059,Waigeo Utara,Kab. Raja Ampat,Papua Barat,920502
2060,Warwarbomi,Kab. Raja Ampat,Papua Barat,920514
2061,Aranday,Kab. Teluk Bintuni,Papua Barat,920604
2062,Aroba,Kab. Teluk Bintuni,Papua Barat,920616
2063,Babo,Kab. Teluk Bintuni,Papua Barat,920603
2064,Bintuni,Kab. Teluk Bintuni,Papua Barat,920601
2065,Biscoop,Kab. Teluk Bintuni,Papua Barat,920618
2066,Dataran Beimes,Kab. Teluk Bintuni,Papua Barat,920613
2067,Fafurwar (Irorutu),Kab. Teluk Bintuni,Papua Barat,920608
2068,Kaitaro,Kab. Teluk Bintuni,Papua Barat,920615
2069,Kamundan,Kab. Teluk Bintuni,Papua Barat,920620
2070,Kuri,Kab. Teluk Bintuni,Papua Barat,920610
2071,Manimeri,Kab. Teluk Bintuni,Papua Barat,920611
2072,Masyeta,Kab. Teluk Bintuni,Papua Barat,920617
2073,Merdey,Kab. Teluk Bintuni,Papua Barat,920602
2074,Meyado (Mayado),Kab. Teluk Bintuni,Papua Barat,920623
2075,Moskona Barat,Kab. Teluk Bintuni,Papua Barat,920622
2076,Moskona Selatan,Kab. Teluk Bintuni,Papua Barat,920605
2077,Moskona Timur,Kab. Teluk Bintuni,Papua Barat,920624
2078,Moskona Utara,Kab. Teluk Bintuni,Papua Barat,920606
2079,Sumuri (Simuri),Kab. Teluk Bintuni,Papua Barat,920614
2080,Tembuni,Kab. Teluk Bintuni,Papua Barat,920609
2081,Tomu,Kab. Teluk Bintuni,Papua Barat,920619
2082,Tuhiba,Kab. Teluk Bintuni,Papua Barat,920612
2083,Wamesa (Idoor),Kab. Teluk Bintuni,Papua Barat,920607
2084,Weriagar,Kab. Teluk Bintuni,Papua Barat,920621
2085,Kuri Wamesa,Kab. Teluk Wondama,Papua Barat,920709
2086,Naikere,Kab. Teluk Wondama,Papua Barat,920707
2087,Nikiwar,Kab. Teluk Wondama,Papua Barat,920712
2088,Rasiei,Kab. Teluk Wondama,Papua Barat,920708
2089,Roon,Kab. Teluk Wondama,Papua Barat,920710
2090,Roswar,Kab. Teluk Wondama,Papua Barat,920711
2091,Rumberpon,Kab. Teluk Wondama,Papua Barat,920706
2092,Soug Jaya,Kab. Teluk Wondama,Papua Barat,920713
2093,Teluk Duairi,Kab. Teluk Wondama,Papua Barat,920703
2094,Wamesa,Kab. Teluk Wondama,Papua Barat,920705
2095,Wasior,Kab. Teluk Wondama,Papua Barat,920701
2096,Windesi,Kab. Teluk Wondama,Papua Barat,920702
2097,Wondiboy,Kab. Teluk Wondama,Papua Barat,920704
2098,Buruway,Kab. Kaimana,Papua Barat,920802
2099,Kaimana,Kab. Kaimana,Papua Barat,920801
2100,Kambrau (Kambraw / Kamberau),Kab. Kaimana,Papua Barat,920805
2101,Teluk Arguni Atas,Kab. Kaimana,Papua Barat,920803
2102,Teluk Arguni Bawah (Yerusi),Kab. Kaimana,Papua Barat,920806
2103,Teluk Etna,Kab. Kaimana,Papua Barat,920804
2104,Yamor,Kab. Kaimana,Papua Barat,920807
2105,Abun,Kab. Tambrauw,Papua Barat,920906
2106,Amberbaken,Kab. Tambrauw,Papua Barat,920910
2107,Amberbaken Barat,Kab. Tambrauw,Papua Barat,920927
2108,Ases,Kab. Tambrauw,Papua Barat,920915
2109,Bamusbama,Kab. Tambrauw,Papua Barat,920914
2110,Bikar,Kab. Tambrauw,Papua Barat,920913
2111,Fef,Kab. Tambrauw,Papua Barat,920901
2112,Ireres,Kab. Tambrauw,Papua Barat,920917
2113,Kasi,Kab. Tambrauw,Papua Barat,920928
2114,Kebar,Kab. Tambrauw,Papua Barat,920909
2115,Kebar Selatan,Kab. Tambrauw,Papua Barat,920924
2116,Kebar Timur,Kab. Tambrauw,Papua Barat,920923
2117,Kwesefo,Kab. Tambrauw,Papua Barat,920921
2118,Kwoor,Kab. Tambrauw,Papua Barat,920904
2119,Manekar,Kab. Tambrauw,Papua Barat,920925
2120,Mawabuan,Kab. Tambrauw,Papua Barat,920922
2121,Miyah,Kab. Tambrauw,Papua Barat,920902
2122,Miyah Selatan,Kab. Tambrauw,Papua Barat,920916
2123,Moraid,Kab. Tambrauw,Papua Barat,920908
2124,Mpur,Kab. Tambrauw,Papua Barat,920926
2125,Mubrani,Kab. Tambrauw,Papua Barat,920912
2126,Sausapor,Kab. Tambrauw,Papua Barat,920905
2127,Selemkai,Kab. Tambrauw,Papua Barat,920929
2128,Senopi,Kab. Tambrauw,Papua Barat,920911
2129,Syujak,Kab. Tambrauw,Papua Barat,920907
2130,Tinggouw,Kab. Tambrauw,Papua Barat,920920
2131,Tobouw,Kab. Tambrauw,Papua Barat,920918
2132,Wilhem Roumbouts,Kab. Tambrauw,Papua Barat,920919
2133,Yembun,Kab. Tambrauw,Papua Barat,920903
2134,Aifat,Kab. Maybrat,Papua Barat,921001
2135,Aifat Selatan,Kab. Maybrat,Papua Barat,921004
2136,Aifat Timur,Kab. Maybrat,Papua Barat,921003
2137,Aifat Timur Jauh,Kab. Maybrat,Papua Barat,921013
2138,Aifat Timur Selatan,Kab. Maybrat,Papua Barat,921014
2139,Aifat Timur Tengah,Kab. Maybrat,Papua Barat,921012
2140,Aifat Utara,Kab. Maybrat,Papua Barat,921002
2141,Aitinyo,Kab. Maybrat,Papua Barat,921006
2142,Aitinyo Barat,Kab. Maybrat,Papua Barat,921005
2143,Aitinyo Raya,Kab. Maybrat,Papua Barat,921023
2144,Aitinyo Tengah,Kab. Maybrat,Papua Barat,921022
2145,Aitinyo Utara,Kab. Maybrat,Papua Barat,921007
2146,Ayamaru,Kab. Maybrat,Papua Barat,921008
2147,Ayamaru Barat,Kab. Maybrat,Papua Barat,921021
2148,Ayamaru Jaya,Kab. Maybrat,Papua Barat,921016
2149,Ayamaru Selatan,Kab. Maybrat,Papua Barat,921015
2150,Ayamaru Selatan Jaya,Kab. Maybrat,Papua Barat,921017
2151,Ayamaru Tengah,Kab. Maybrat,Papua Barat,921020
2152,Ayamaru Timur,Kab. Maybrat,Papua Barat,921010
2153,Ayamaru Timur Selatan,Kab. Maybrat,Papua Barat,921018
2154,Ayamaru Utara,Kab. Maybrat,Papua Barat,921009
2155,Ayamaru Utara Timur,Kab. Maybrat,Papua Barat,921019
2156,Mare,Kab. Maybrat,Papua Barat,921011
2157,Mare Selatan,Kab. Maybrat,Papua Barat,921024
2158,Dataran Isim,Kab. Manokwari Selatan,Papua Barat,921104
2159,Momi Waren,Kab. Manokwari Selatan,Papua Barat,921105
2160,Neney,Kab. Manokwari Selatan,Papua Barat,921103
2161,Oransbari,Kab. Manokwari Selatan,Papua Barat,921102
2162,Ransiki,Kab. Manokwari Selatan,Papua Barat,921101
2163,Tahota,Kab. Manokwari Selatan,Papua Barat,921106
2164,Anggi,Kab. Pegunungan Arfak,Papua Barat,921201
2165,Anggi Gida,Kab. Pegunungan Arfak,Papua Barat,921202
2166,Catubouw,Kab. Pegunungan Arfak,Papua Barat,921207
2167,Didohu,Kab. Pegunungan Arfak,Papua Barat,921205
2168,Hingk,Kab. Pegunungan Arfak,Papua Barat,921210
2169,Membey,Kab. Pegunungan Arfak,Papua Barat,921203
2170,Minyambaouw,Kab. Pegunungan Arfak,Papua Barat,921209
2171,Sururey,Kab. Pegunungan Arfak,Papua Barat,921204
2172,Taige,Kab. Pegunungan Arfak,Papua Barat,921206
2173,Testega,Kab. Pegunungan Arfak,Papua Barat,921208
2174,Klaurung,Kota Sorong,Papua Barat,927108
2175,Maladum Mes,Kota Sorong,Papua Barat,927110
2176,Malaimsimsa,Kota Sorong,Papua Barat,927109
2177,Sorong,Kota Sorong,Papua Barat,927101
2178,Sorong Barat,Kota Sorong,Papua Barat,927103
2179,Sorong Kepulauan,Kota Sorong,Papua Barat,927104
2180,Sorong Kota,Kota Sorong,Papua Barat,927107
2181,Sorong Manoi,Kota Sorong,Papua Barat,927106
2182,Sorong Timur,Kota Sorong,Papua Barat,927102
2183,Sorong Utara,Kota Sorong,Papua Barat,927105
2184,Animha,Kab. Merauke,Papua,910113
2185,Elikobal,Kab. Merauke,Papua,910110
2186,Ilwayab (Ilyawab),Kab. Merauke,Papua,910120
2187,Jagebob,Kab. Merauke,Papua,910107
2188,Kaptel,Kab. Merauke,Papua,910117
2189,Kimaam,Kab. Merauke,Papua,910104
2190,Kurik,Kab. Merauke,Papua,910111
2191,Malind,Kab. Merauke,Papua,910114
2192,Merauke,Kab. Merauke,Papua,910101
2193,Muting,Kab. Merauke,Papua,910102
2194,Naukenjerai,Kab. Merauke,Papua,910112
2195,Ngguti,Kab. Merauke,Papua,910116
2196,Okaba,Kab. Merauke,Papua,910103
2197,Semangga,Kab. Merauke,Papua,910105
2198,Sota,Kab. Merauke,Papua,910108
2199,Tabonji,Kab. Merauke,Papua,910118
2200,Tanah Miring,Kab. Merauke,Papua,910106
2201,Tubang,Kab. Merauke,Papua,910115
2202,Ulilin,Kab. Merauke,Papua,910109
2203,Waan,Kab. Merauke,Papua,910119
2204,Asologaima (Asalogaima),Kab. Jayawijaya,Papua,910204
2205,Asolokobal,Kab. Jayawijaya,Papua,910229
2206,Asotipo,Kab. Jayawijaya,Papua,910264
2207,Bolakme,Kab. Jayawijaya,Papua,910215
2208,Bpiri,Kab. Jayawijaya,Papua,910262
2209,Bugi,Kab. Jayawijaya,Papua,910261
2210,Hubikiak,Kab. Jayawijaya,Papua,910244
2211,Hubikosi (Hobikosi),Kab. Jayawijaya,Papua,910212
2212,Ibele,Kab. Jayawijaya,Papua,910245
2213,Itlay Hisage,Kab. Jayawijaya,Papua,910247
2214,Koragi,Kab. Jayawijaya,Papua,910254
2215,Kurulu,Kab. Jayawijaya,Papua,910203
2216,Libarek,Kab. Jayawijaya,Papua,910251
2217,Maima,Kab. Jayawijaya,Papua,910265
2218,Molagalome,Kab. Jayawijaya,Papua,910256
2219,Muliama,Kab. Jayawijaya,Papua,910260
2220,Musatfak,Kab. Jayawijaya,Papua,910227
2221,Napua,Kab. Jayawijaya,Papua,910241
2222,Pelebaga,Kab. Jayawijaya,Papua,910234
2223,Piramid,Kab. Jayawijaya,Papua,910259
2224,Pisugi,Kab. Jayawijaya,Papua,910253
2225,Popugoba,Kab. Jayawijaya,Papua,910266
2226,Siepkosi,Kab. Jayawijaya,Papua,910248
2227,Silo Karno Doga,Kab. Jayawijaya,Papua,910258
2228,Taelarek,Kab. Jayawijaya,Papua,910246
2229,Tagime,Kab. Jayawijaya,Papua,910255
2230,Tagineri,Kab. Jayawijaya,Papua,910257
2231,Trikora,Kab. Jayawijaya,Papua,910240
2232,Usilimo,Kab. Jayawijaya,Papua,910249
2233,Wadangku,Kab. Jayawijaya,Papua,910252
2234,Walaik,Kab. Jayawijaya,Papua,910242
2235,Walelagama,Kab. Jayawijaya,Papua,910225
2236,Wame,Kab. Jayawijaya,Papua,910267
2237,Wamena,Kab. Jayawijaya,Papua,910201
2238,Welesi,Kab. Jayawijaya,Papua,910263
2239,Wesaput,Kab. Jayawijaya,Papua,910268
2240,Wita Waya,Kab. Jayawijaya,Papua,910250
2241,Wollo (Wolo),Kab. Jayawijaya,Papua,910228
2242,Wouma,Kab. Jayawijaya,Papua,910243
2243,Yalengga,Kab. Jayawijaya,Papua,910235
2244,Airu,Kab. Jayapura,Papua,910316
2245,Demta,Kab. Jayapura,Papua,910310
2246,Depapre,Kab. Jayapura,Papua,910303
2247,Ebungfao (Ebungfau / Ebungfa),Kab. Jayapura,Papua,910312
2248,Gresi Selatan,Kab. Jayapura,Papua,910318
2249,Kaureh,Kab. Jayapura,Papua,910311
2250,Kemtuk,Kab. Jayapura,Papua,910305
2251,Kemtuk Gresi,Kab. Jayapura,Papua,910306
2252,Nambluong,Kab. Jayapura,Papua,910314
2253,Nimbokrang,Kab. Jayapura,Papua,910308
2254,Nimboran,Kab. Jayapura,Papua,910307
2255,Raveni Rara (Ravenirara),Kab. Jayapura,Papua,910317
2256,Sentani,Kab. Jayapura,Papua,910301
2257,Sentani Barat,Kab. Jayapura,Papua,910304
2258,Sentani Timur,Kab. Jayapura,Papua,910302
2259,Unurum Guay,Kab. Jayapura,Papua,910309
2260,Waibu,Kab. Jayapura,Papua,910313
2261,Yapsi,Kab. Jayapura,Papua,910315
2262,Yokari,Kab. Jayapura,Papua,910319
2263,Dipa,Kab. Nabire,Papua,910424
2264,Makimi,Kab. Nabire,Papua,910411
2265,Menou,Kab. Nabire,Papua,910425
2266,Moora,Kab. Nabire,Papua,910423
2267,Nabire,Kab. Nabire,Papua,910401
2268,Nabire Barat,Kab. Nabire,Papua,910422
2269,Napan,Kab. Nabire,Papua,910402
2270,Siriwo,Kab. Nabire,Papua,910410
